sentence,label,target_position,target_word,pos_tag,gloss,eg_sent,bis_def_collins,exps_collins,bis_def_longman,exps_longman,bis_def_oxford_advanced,exps_oxford_advanced
The latest intelligence is flashed to all command posts .,1,4,flash,VERB,"Shine in a bright but brief, sudden, or intermittent way.",lightning flashed overhead,"V-ERG  ),();() If a light flashes or if you flash a light, it shines with a sudden bright light, especially as quick, regular flashes of light. ),();() ","['Lightning flashed among the distant dark clouds.', 'He lost his temper after a driver flashed her headlights as he overtook.', 'He flashed his light into the boat and saw the fishing-line.', 'He saw the flashing lights of the highway patrol car in his driving mirror.']",,[],to shine very brightly for a short time; to make something shine in this way,"['Lightning flashed in the distance.', 'the flashing blue lights of a police car', 'Start crossing when the green WALK sign starts to flash.', 'A neon sign flashed on and off above the door.', 'The guide flashed a light into the cave.']"
he flashed a $ 100 bill .,1,1,flash,VERB,"Shine in a bright but brief, sudden, or intermittent way.",lightning flashed overhead,"V-ERG  ),();() If a light flashes or if you flash a light, it shines with a sudden bright light, especially as quick, regular flashes of light. ),();() ","['Lightning flashed among the distant dark clouds.', 'He lost his temper after a driver flashed her headlights as he overtook.', 'He flashed his light into the boat and saw the fishing-line.', 'He saw the flashing lights of the highway patrol car in his driving mirror.']",,[],to shine very brightly for a short time; to make something shine in this way,"['Lightning flashed in the distance.', 'the flashing blue lights of a police car', 'Start crossing when the green WALK sign starts to flash.', 'A neon sign flashed on and off above the door.', 'The guide flashed a light into the cave.']"
A shooting star flashed and was gone .,0,3,flash,VERB,"Shine in a bright but brief, sudden, or intermittent way.",lightning flashed overhead,"V-ERG  ),();() If a light flashes or if you flash a light, it shines with a sudden bright light, especially as quick, regular flashes of light. ),();() ","['Lightning flashed among the distant dark clouds.', 'He lost his temper after a driver flashed her headlights as he overtook.', 'He flashed his light into the boat and saw the fishing-line.', 'He saw the flashing lights of the highway patrol car in his driving mirror.']",,[],to shine very brightly for a short time; to make something shine in this way,"['Lightning flashed in the distance.', 'the flashing blue lights of a police car', 'Start crossing when the green WALK sign starts to flash.', 'A neon sign flashed on and off above the door.', 'The guide flashed a light into the cave.']"
He floated the logs down the river .,0,1,float,VERB,Rest or move on or near the surface of a liquid without sinking.,"she relaxed , floating gently in the water","V-ERG  );() If something or someone is floating in a liquid, they are in the liquid, on or just below the surface, and are being supported by it. You can also float something on a liquid. );() [Also VERB n preposition/adverb] ","['They noticed fifty and twenty dollar bills floating in the water.', '...barges floating quietly by the grassy river banks.', ""They'll spend some time floating boats in the creek.""]", to stay or move on the surface of a liquid without sinking,"['I wasn’t sure if the raft would float.', 'She spent the afternoon floating on her back in the pool.', 'A couple of broken branches floated past us.']",to move slowly on water or in the air ,"['A group of swans floated by.', 'The smell of new bread floated up from the kitchen.', 'Beautiful music came floating out of the window.', 'The boats were floating gently down the river.', 'An idea suddenly floated into my mind.', 'People seem to float in and out of my life.']"
The Republicans are floating the idea of a tax reform .,1,3,float,VERB,Rest or move on or near the surface of a liquid without sinking.,"she relaxed , floating gently in the water","V-ERG  );() If something or someone is floating in a liquid, they are in the liquid, on or just below the surface, and are being supported by it. You can also float something on a liquid. );() [Also VERB n preposition/adverb] ","['They noticed fifty and twenty dollar bills floating in the water.', '...barges floating quietly by the grassy river banks.', ""They'll spend some time floating boats in the creek.""]", to stay or move on the surface of a liquid without sinking,"['I wasn’t sure if the raft would float.', 'She spent the afternoon floating on her back in the pool.', 'A couple of broken branches floated past us.']",to move slowly on water or in the air ,"['A group of swans floated by.', 'The smell of new bread floated up from the kitchen.', 'Beautiful music came floating out of the window.', 'The boats were floating gently down the river.', 'An idea suddenly floated into my mind.', 'People seem to float in and out of my life.']"
The dancer floated across the stage .,1,2,float,VERB,Rest or move on or near the surface of a liquid without sinking.,"she relaxed , floating gently in the water","V-ERG  );() If something or someone is floating in a liquid, they are in the liquid, on or just below the surface, and are being supported by it. You can also float something on a liquid. );() [Also VERB n preposition/adverb] ","['They noticed fifty and twenty dollar bills floating in the water.', '...barges floating quietly by the grassy river banks.', ""They'll spend some time floating boats in the creek.""]", to stay or move on the surface of a liquid without sinking,"['I wasn’t sure if the raft would float.', 'She spent the afternoon floating on her back in the pool.', 'A couple of broken branches floated past us.']",to move slowly on water or in the air ,"['A group of swans floated by.', 'The smell of new bread floated up from the kitchen.', 'Beautiful music came floating out of the window.', 'The boats were floating gently down the river.', 'An idea suddenly floated into my mind.', 'People seem to float in and out of my life.']"
The government floated the ruble for a few months .,1,2,float,VERB,Rest or move on or near the surface of a liquid without sinking.,"she relaxed , floating gently in the water","V-ERG  );() If something or someone is floating in a liquid, they are in the liquid, on or just below the surface, and are being supported by it. You can also float something on a liquid. );() [Also VERB n preposition/adverb] ","['They noticed fifty and twenty dollar bills floating in the water.', '...barges floating quietly by the grassy river banks.', ""They'll spend some time floating boats in the creek.""]", to stay or move on the surface of a liquid without sinking,"['I wasn’t sure if the raft would float.', 'She spent the afternoon floating on her back in the pool.', 'A couple of broken branches floated past us.']",to move slowly on water or in the air ,"['A group of swans floated by.', 'The smell of new bread floated up from the kitchen.', 'Beautiful music came floating out of the window.', 'The boats were floating gently down the river.', 'An idea suddenly floated into my mind.', 'People seem to float in and out of my life.']"
The swollen river flooded the village .,0,3,flood,VERB,Cover or submerge (an area) with water in a flood.,"the dam burst , flooding a small town","V-ERG  ; If something such as a river or a burst pipe floods an area that is usually dry or if the area floods, it becomes covered with water. ; ","[""The Chicago River flooded the city's underground tunnel system."", 'The kitchen flooded.']"," to cover a place with water, or to become covered with water","['Towns and cities all over the country have been flooded.', 'The houses down by the river flood quite regularly.']","if a place floods or something floods it, it becomes filled or covered with water","['The cellar floods whenever it rains heavily.', 'If the pipe bursts it could flood the whole house.']"
flood the market with tennis shoes .,1,0,flood,VERB,Cover or submerge (an area) with water in a flood.,"the dam burst , flooding a small town","V-ERG  ; If something such as a river or a burst pipe floods an area that is usually dry or if the area floods, it becomes covered with water. ; ","[""The Chicago River flooded the city's underground tunnel system."", 'The kitchen flooded.']"," to cover a place with water, or to become covered with water","['Towns and cities all over the country have been flooded.', 'The houses down by the river flood quite regularly.']","if a place floods or something floods it, it becomes filled or covered with water","['The cellar floods whenever it rains heavily.', 'If the pipe bursts it could flood the whole house.']"
Our basement flooded during the heavy rains .,0,2,flood,VERB,Cover or submerge (an area) with water in a flood.,"the dam burst , flooding a small town","V-ERG  ; If something such as a river or a burst pipe floods an area that is usually dry or if the area floods, it becomes covered with water. ; ","[""The Chicago River flooded the city's underground tunnel system."", 'The kitchen flooded.']"," to cover a place with water, or to become covered with water","['Towns and cities all over the country have been flooded.', 'The houses down by the river flood quite regularly.']","if a place floods or something floods it, it becomes filled or covered with water","['The cellar floods whenever it rains heavily.', 'If the pipe bursts it could flood the whole house.']"
The crowd flowed out of the stadium .,1,2,flow,VERB,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north,"VERB  ; If a liquid, gas, or electrical current flows somewhere, it moves there steadily and continuously. ; ","['A stream flowed gently down into the valley.', 'The current flows into electric motors that drive the wheels.', '...compressor stations that keep the gas flowing.']"," when a liquid, gas, or electricity flows, it moves in a steady continuous stream","['These gates regulate the amount of water flowing into the canal.', 'If the windows are shut, air cannot flow freely through the building.']",to move steadily and continuously in one direction,"['She lost control and the tears began to flow.', ""It's here that the river flows down into the ocean."", 'Blood flowed from a cut on her head.', 'This can prevent air from flowing freely to the lungs.', 'the electric currents flowing through the cables']"
Water flowed into the cave .,0,1,flow,VERB,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north,"VERB  ; If a liquid, gas, or electrical current flows somewhere, it moves there steadily and continuously. ; ","['A stream flowed gently down into the valley.', 'The current flows into electric motors that drive the wheels.', '...compressor stations that keep the gas flowing.']"," when a liquid, gas, or electricity flows, it moves in a steady continuous stream","['These gates regulate the amount of water flowing into the canal.', 'If the windows are shut, air cannot flow freely through the building.']",to move steadily and continuously in one direction,"['She lost control and the tears began to flow.', ""It's here that the river flows down into the ocean."", 'Blood flowed from a cut on her head.', 'This can prevent air from flowing freely to the lungs.', 'the electric currents flowing through the cables']"
The champagne flowed at the wedding .,1,2,flow,VERB,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north,"VERB  ; If a liquid, gas, or electrical current flows somewhere, it moves there steadily and continuously. ; ","['A stream flowed gently down into the valley.', 'The current flows into electric motors that drive the wheels.', '...compressor stations that keep the gas flowing.']"," when a liquid, gas, or electricity flows, it moves in a steady continuous stream","['These gates regulate the amount of water flowing into the canal.', 'If the windows are shut, air cannot flow freely through the building.']",to move steadily and continuously in one direction,"['She lost control and the tears began to flow.', ""It's here that the river flows down into the ocean."", 'Blood flowed from a cut on her head.', 'This can prevent air from flowing freely to the lungs.', 'the electric currents flowing through the cables']"
The garbage flushed down the river .,0,2,flush,VERB,"(of a person's skin, face, etc.) become red and hot, typically as the result of illness or strong emotion.",Rachel flushed angrily,"VERB  ;() If you flush, your face goes red because you are hot or ill, or because you are feeling a strong emotion such as embarrassment or anger. ;() [Also + of] ","['Do you sweat a lot or flush a lot?.', 'He turned away embarrassed, his face flushing red.']"," to become red in the face, for example when you are angry or embarrassed","['Susan flushed deeply and looked away.', 'He flushed angrily.', 'Robyn felt her cheeks flush scarlet.', 'Mrs Cooper flushed with indignation.']","to become red, especially because you are embarrassed, angry or hot","['She flushed with anger.', 'Sam felt her cheeks flush red.', 'A rosy blush flushed her cheeks.']"
the sky flushed with rosy splendor .,1,2,flush,VERB,"(of a person's skin, face, etc.) become red and hot, typically as the result of illness or strong emotion.",Rachel flushed angrily,"VERB  ;() If you flush, your face goes red because you are hot or ill, or because you are feeling a strong emotion such as embarrassment or anger. ;() [Also + of] ","['Do you sweat a lot or flush a lot?.', 'He turned away embarrassed, his face flushing red.']"," to become red in the face, for example when you are angry or embarrassed","['Susan flushed deeply and looked away.', 'He flushed angrily.', 'Robyn felt her cheeks flush scarlet.', 'Mrs Cooper flushed with indignation.']","to become red, especially because you are embarrassed, angry or hot","['She flushed with anger.', 'Sam felt her cheeks flush red.', 'A rosy blush flushed her cheeks.']"
flush the wound with antibiotics .,1,0,flush,VERB,"(of a person's skin, face, etc.) become red and hot, typically as the result of illness or strong emotion.",Rachel flushed angrily,"VERB  ;() If you flush, your face goes red because you are hot or ill, or because you are feeling a strong emotion such as embarrassment or anger. ;() [Also + of] ","['Do you sweat a lot or flush a lot?.', 'He turned away embarrassed, his face flushing red.']"," to become red in the face, for example when you are angry or embarrassed","['Susan flushed deeply and looked away.', 'He flushed angrily.', 'Robyn felt her cheeks flush scarlet.', 'Mrs Cooper flushed with indignation.']","to become red, especially because you are embarrassed, angry or hot","['She flushed with anger.', 'Sam felt her cheeks flush red.', 'A rosy blush flushed her cheeks.']"
form the young child 's character .,1,0,form,VERB,Bring together parts or combine to create (something),the company was formed in 1982,"V-ERG  ;();… When a particular shape forms or is formed, people or things move or are arranged so that this shape is made. ;();… [Also VERB n + into] ","[""A queue forms outside Peter's study."", ""They formed a circle and sang 'Auld Lang Syne'."", 'The General gave orders for the cadets to form into lines.']"," to establish an organization, committee, government etc","['The winning party will form the government.', 'CARE was formed in 1946 and helps the poor in 38 countries.']",to begin to exist and gradually develop into a particular shape; to make something begin to exist in a particular shape,"['Flowers appeared, but fruits failed to form.', 'Storm clouds are forming on the horizon.', 'These hills were formed by glaciation.']"
the water formed little beads .,0,2,form,VERB,Bring together parts or combine to create (something),the company was formed in 1982,"V-ERG  ;();… When a particular shape forms or is formed, people or things move or are arranged so that this shape is made. ;();… [Also VERB n + into] ","[""A queue forms outside Peter's study."", ""They formed a circle and sang 'Auld Lang Syne'."", 'The General gave orders for the cadets to form into lines.']"," to establish an organization, committee, government etc","['The winning party will form the government.', 'CARE was formed in 1946 and helps the poor in 38 countries.']",to begin to exist and gradually develop into a particular shape; to make something begin to exist in a particular shape,"['Flowers appeared, but fruits failed to form.', 'Storm clouds are forming on the horizon.', 'These hills were formed by glaciation.']"
This writer really fractures the language .,1,3,fracture,VERB,Break or cause to break.,the stone has fractured,"V-ERG  )();() If something such as a bone is fractured or fractures, it gets a slight crack or break in it. )();() ","[""You've fractured a rib, maybe more than one."", 'One strut had fractured and been crudely repaired in several places.', 'He suffered a fractured skull.']","if a bone or other hard substance fractures, or if it is fractured, it breaks or cracks","['The immense pressure causes the rock to fracture.', 'He fractured his right leg during training.']",to break or crack; to make something break or crack,"['His leg fractured in two places.', 'She fell and fractured her skull.', 'a fractured pipeline']"
These events could fracture the balance of power .,1,3,fracture,VERB,Break or cause to break.,the stone has fractured,"V-ERG  )();() If something such as a bone is fractured or fractures, it gets a slight crack or break in it. )();() ","[""You've fractured a rib, maybe more than one."", 'One strut had fractured and been crudely repaired in several places.', 'He suffered a fractured skull.']","if a bone or other hard substance fractures, or if it is fractured, it breaks or cracks","['The immense pressure causes the rock to fracture.', 'He fractured his right leg during training.']",to break or crack; to make something break or crack,"['His leg fractured in two places.', 'She fell and fractured her skull.', 'a fractured pipeline']"
The pothole fractured a bolt on the axle .,0,2,fracture,VERB,Break or cause to break.,the stone has fractured,"V-ERG  )();() If something such as a bone is fractured or fractures, it gets a slight crack or break in it. )();() ","[""You've fractured a rib, maybe more than one."", 'One strut had fractured and been crudely repaired in several places.', 'He suffered a fractured skull.']","if a bone or other hard substance fractures, or if it is fractured, it breaks or cracks","['The immense pressure causes the rock to fracture.', 'He fractured his right leg during training.']",to break or crack; to make something break or crack,"['His leg fractured in two places.', 'She fell and fractured her skull.', 'a fractured pipeline']"
"fuel aircraft , ships , and cars .",0,0,fuel,VERB,"Supply or power (an industrial plant, vehicle, or machine) with fuel.",power stations fuelled by low-grade coal,VERB  ;; To fuel a situation means to make it become worse or more intense. ;; ,"[""The result will inevitably fuel speculation about the Prime Minister's future."", 'The economic boom was fueled by easy credit.']"," to make something, especially something bad, increase or become stronger","['His words fuelled her anger still more.', 'Progress was slow, fueling concerns that the stadium would not be finished on time.']",to supply something with material that can be burnt to produce heat or power,"['Uranium is used to fuel nuclear plants.', 'oil-fuelled power stations']"
The tanker fueled in Bahrain .,0,2,fuel,VERB,"Supply or power (an industrial plant, vehicle, or machine) with fuel.",power stations fuelled by low-grade coal,VERB  ;; To fuel a situation means to make it become worse or more intense. ;; ,"[""The result will inevitably fuel speculation about the Prime Minister's future."", 'The economic boom was fueled by easy credit.']"," to make something, especially something bad, increase or become stronger","['His words fuelled her anger still more.', 'Progress was slow, fueling concerns that the stadium would not be finished on time.']",to supply something with material that can be burnt to produce heat or power,"['Uranium is used to fuel nuclear plants.', 'oil-fuelled power stations']"
fuel the debate on creationism .,1,0,fuel,VERB,"Supply or power (an industrial plant, vehicle, or machine) with fuel.",power stations fuelled by low-grade coal,VERB  ;; To fuel a situation means to make it become worse or more intense. ;; ,"[""The result will inevitably fuel speculation about the Prime Minister's future."", 'The economic boom was fueled by easy credit.']"," to make something, especially something bad, increase or become stronger","['His words fuelled her anger still more.', 'Progress was slow, fueling concerns that the stadium would not be finished on time.']",to supply something with material that can be burnt to produce heat or power,"['Uranium is used to fuel nuclear plants.', 'oil-fuelled power stations']"
The press was gagged .,1,3,gag,VERB,Put a gag on (someone),she was bound and gagged by robbers,"VERB  … If someone gags you, they tie a piece of cloth around your mouth in order to stop you from speaking or shouting. … ",['I gagged him with a towel.'], to be unable to swallow and feel as if you are about to bring up food from your stomach,"['The foul smell made her gag.', 'He almost gagged on his first mouthful of food.']",to put a piece of cloth in or over somebody’s mouth to prevent them from speaking or shouting,"['The hostages were bound and gagged.', 'The men left the security guards bound and gagged.']"
The horse was galloping along .,0,3,gallop,VERB,(of a horse) go at the pace of a gallop.,we galloped along the sand,"When a horse gallops, it runs very fast so that all four legs are off the ground at the same time. If you gallop a horse, you make it gallop.","['The horses galloped away.', 'Staff officers galloped fine horses down the road.']"," if a horse gallops, it moves very fast with all its feet leaving the ground together","['A neighbour’s horse came galloping down the road, riderless.', 'a galloping horse']","when a horse or similar animal gallops, it moves very fast and each stride includes a stage when all four feet are off the ground together","['The terrified horse galloped off.', 'The ponies galloped along the sand.']"
The girl glared at the man who tried to make a pass at her .,0,2,glare,VERB,Stare in an angry or fierce way.,"she glared at him , her cheeks flushing","If you glare at someone, you look at them with an angry expression on your face.","['The old woman glared at him.', 'Jacob glared and muttered something.', '...glaring eyes.']",to look angrily at someone for a long time,"['She glared at him accusingly.', 'He glared round the room as if expecting a challenge.']",to look at somebody/something in an angry way ,"[""He didn't shout, he just glared at me silently."", 'I looked at her and she glared furiously back.']"
The moon glared back at itself from the lake 's surface .,1,2,glare,VERB,Stare in an angry or fierce way.,"she glared at him , her cheeks flushing","If you glare at someone, you look at them with an angry expression on your face.","['The old woman glared at him.', 'Jacob glared and muttered something.', '...glaring eyes.']",to look angrily at someone for a long time,"['She glared at him accusingly.', 'He glared round the room as if expecting a challenge.']",to look at somebody/something in an angry way ,"[""He didn't shout, he just glared at me silently."", 'I looked at her and she glared furiously back.']"
The sun glared down on us .,1,2,glare,VERB,Stare in an angry or fierce way.,"she glared at him , her cheeks flushing","If you glare at someone, you look at them with an angry expression on your face.","['The old woman glared at him.', 'Jacob glared and muttered something.', '...glaring eyes.']",to look angrily at someone for a long time,"['She glared at him accusingly.', 'He glared round the room as if expecting a challenge.']",to look at somebody/something in an angry way ,"[""He didn't shout, he just glared at me silently."", 'I looked at her and she glared furiously back.']"
The fireflies were glowing and flying about in the garden .,0,3,glow,VERB,Give out steady light without flame.,the tips of their cigarettes glowed in the dark,"If something glows, it produces a dull, steady light.","['The night lantern glowed softly in the darkness.', 'Even the mantel above the fire glowed white.']",to produce or reflect a soft steady light,"['The bedside lamp glowed dimly.', 'The fireplace was still glowing with the remains of last night’s fire.', 'The red tip of his cigarette was glowing in the dark.']","to produce a dull, steady light","['The embers still glowed in the hearth.', 'The lighted candles glowed in the darkness.', 'The strap has a fluorescent coating that glows in the dark.', 'A cigarette end glowed red in the darkness.']"
Her face glowed when she came out of the sauna .,1,2,glow,VERB,Give out steady light without flame.,the tips of their cigarettes glowed in the dark,"If something glows, it produces a dull, steady light.","['The night lantern glowed softly in the darkness.', 'Even the mantel above the fire glowed white.']",to produce or reflect a soft steady light,"['The bedside lamp glowed dimly.', 'The fireplace was still glowing with the remains of last night’s fire.', 'The red tip of his cigarette was glowing in the dark.']","to produce a dull, steady light","['The embers still glowed in the hearth.', 'The lighted candles glowed in the darkness.', 'The strap has a fluorescent coating that glows in the dark.', 'A cigarette end glowed red in the darkness.']"
The coals were glowing in the dark .,0,3,glow,VERB,Give out steady light without flame.,the tips of their cigarettes glowed in the dark,"If something glows, it produces a dull, steady light.","['The night lantern glowed softly in the darkness.', 'Even the mantel above the fire glowed white.']",to produce or reflect a soft steady light,"['The bedside lamp glowed dimly.', 'The fireplace was still glowing with the remains of last night’s fire.', 'The red tip of his cigarette was glowing in the dark.']","to produce a dull, steady light","['The embers still glowed in the hearth.', 'The lighted candles glowed in the darkness.', 'The strap has a fluorescent coating that glows in the dark.', 'A cigarette end glowed red in the darkness.']"
Make the people 's hearts glow .,1,5,glow,VERB,Give out steady light without flame.,the tips of their cigarettes glowed in the dark,"If something glows, it produces a dull, steady light.","['The night lantern glowed softly in the darkness.', 'Even the mantel above the fire glowed white.']",to produce or reflect a soft steady light,"['The bedside lamp glowed dimly.', 'The fireplace was still glowing with the remains of last night’s fire.', 'The red tip of his cigarette was glowing in the dark.']","to produce a dull, steady light","['The embers still glowed in the hearth.', 'The lighted candles glowed in the darkness.', 'The strap has a fluorescent coating that glows in the dark.', 'A cigarette end glowed red in the darkness.']"
The passenger grabbed for the oxygen mask .,0,2,grab,VERB,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar,"If you grab something, you take it or pick it up suddenly and roughly.","['I managed to grab her hand.', 'I grabbed him by the neck.']", to take hold of someone or something with a sudden or violent movement,"['I grabbed my bag and ran off.', 'Two men grabbed her and pushed her to the ground.', 'Kay grabbed hold of my arm to stop herself falling.', 'I managed to grab the gun from Bowen.']","to take or hold somebody/something with your hand suddenly, firmly or roughly ","[""She grabbed the child's hand and ran."", ""He grabbed hold of me and wouldn't let go."", 'He grabbed her around the throat and squeezed.', 'Someone grabbed me from behind.', ""Don't grab—there's plenty for everyone."", 'Jim grabbed a cake from the plate.']"
She grabbed the child 's hand and ran out of the room .,0,1,grab,VERB,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar,"If you grab something, you take it or pick it up suddenly and roughly.","['I managed to grab her hand.', 'I grabbed him by the neck.']", to take hold of someone or something with a sudden or violent movement,"['I grabbed my bag and ran off.', 'Two men grabbed her and pushed her to the ground.', 'Kay grabbed hold of my arm to stop herself falling.', 'I managed to grab the gun from Bowen.']","to take or hold somebody/something with your hand suddenly, firmly or roughly ","[""She grabbed the child's hand and ran."", ""He grabbed hold of me and wouldn't let go."", 'He grabbed her around the throat and squeezed.', 'Someone grabbed me from behind.', ""Don't grab—there's plenty for everyone."", 'Jim grabbed a cake from the plate.']"
This story will grab you .,1,3,grab,VERB,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar,"If you grab something, you take it or pick it up suddenly and roughly.","['I managed to grab her hand.', 'I grabbed him by the neck.']", to take hold of someone or something with a sudden or violent movement,"['I grabbed my bag and ran off.', 'Two men grabbed her and pushed her to the ground.', 'Kay grabbed hold of my arm to stop herself falling.', 'I managed to grab the gun from Bowen.']","to take or hold somebody/something with your hand suddenly, firmly or roughly ","[""She grabbed the child's hand and ran."", ""He grabbed hold of me and wouldn't let go."", 'He grabbed her around the throat and squeezed.', 'Someone grabbed me from behind.', ""Don't grab—there's plenty for everyone."", 'Jim grabbed a cake from the plate.']"
The conversation gravitated towards politics .,1,2,gravitate,VERB,Move towards or be attracted to a person or thing.,young western Europeans will gravitate to Berlin,"If you gravitate towards a particular place, thing, or activity, you are attracted by it and go to it or get involved in it.  [Also V prep/adv]","['Traditionally young Asians in Britain have gravitated towards medicine, law and engineering.']", to be attracted to something and therefore move towards it or become involved with it,['Most visitors to London gravitate to Piccadilly Circus and Leicester Square.'],mid 17th cent.: from ,[]
Boys gravitate towards girls at that age .,1,1,gravitate,VERB,Move towards or be attracted to a person or thing.,young western Europeans will gravitate to Berlin,"If you gravitate towards a particular place, thing, or activity, you are attracted by it and go to it or get involved in it.  [Also V prep/adv]","['Traditionally young Asians in Britain have gravitated towards medicine, law and engineering.']", to be attracted to something and therefore move towards it or become involved with it,['Most visitors to London gravitate to Piccadilly Circus and Leicester Square.'],mid 17th cent.: from ,[]
The stars gravitate towards each other .,0,2,gravitate,VERB,Move towards or be attracted to a person or thing.,young western Europeans will gravitate to Berlin,"If you gravitate towards a particular place, thing, or activity, you are attracted by it and go to it or get involved in it.  [Also V prep/adv]","['Traditionally young Asians in Britain have gravitated towards medicine, law and engineering.']", to be attracted to something and therefore move towards it or become involved with it,['Most visitors to London gravitate to Piccadilly Circus and Leicester Square.'],mid 17th cent.: from ,[]
grind the spices in a mortar .,0,0,grind,VERB,Reduce (something) to small particles or powder by crushing it.,grind some black pepper over the salad,"… If you grind a substance such as corn, you crush it between two hard surfaces or with a machine until it becomes a fine powder.  … [Also VERB n PREPOSITION]","['Store the peppercorns in an airtight container and grind the pepper as you need it.', '...the odor of fresh ground coffee.', 'He makes his own paint, grinding up the pigment with a little oil.']"," to break something such as corn or coffee beans into small pieces or powder, either in a machine or between two hard surfaces",['freshly ground pepper'],to break or crush something into very small pieces between two hard surfaces or using a special machine,"['to grind coffee/corn', 'The animal has teeth that grind its food into a pulp.']"
His mind groped to make the connection .,1,2,grope,VERB,Search blindly or uncertainly by feeling with the hands.,she groped for her spectacles,"If you grope for something that you cannot see, you try to find it by moving your hands around in order to feel it.","['With his left hand he groped for the knob, turned it, and pulled the door open.', 'Bunbury groped in his breast pocket for his wallet.']", to try to find something that you cannot see by feeling with your hands,"['Ginny groped for her glasses on the bedside table.', 'We groped around in the darkness.']","to try and find something that you cannot see, by feeling with your hands","['He groped around in the dark for his other sock.', 'She groped for the railing to steady her as she fell.', '‘It’s so…, so…’ I was groping for the right word to describe it.']"
He made some sexual advances at the woman in his office and groped her repeatedly .,0,12,grope,VERB,Search blindly or uncertainly by feeling with the hands.,she groped for her spectacles,"If you grope for something that you cannot see, you try to find it by moving your hands around in order to feel it.","['With his left hand he groped for the knob, turned it, and pulled the door open.', 'Bunbury groped in his breast pocket for his wallet.']", to try to find something that you cannot see by feeling with your hands,"['Ginny groped for her glasses on the bedside table.', 'We groped around in the darkness.']","to try and find something that you cannot see, by feeling with your hands","['He groped around in the dark for his other sock.', 'She groped for the railing to steady her as she fell.', '‘It’s so…, so…’ I was groping for the right word to describe it.']"
There will be men guarding the horses .,0,4,guard,VERB,Watch over in order to protect or control.,two men were left to guard the stockade,"If you guard a place, person, or object, you stand near them in order to watch and protect them.","['Gunmen guarded homes near the cemetery with shotguns.', '...the heavily guarded courtroom.']","to protect a person, place, or object by staying near them and watching them","['The Sergeant told Swift to guard the entrance.', 'a lioness guarding her cubs', 'There is no one to guard these isolated farms against attack.']","to protect property, places or people from attack or danger","[""The dog was guarding its owner's luggage."", 'political leaders guarded by the police', ""You can't get in; the whole place is guarded."", 'a closely guarded secret']"
Please guard my possessions while I 'm away .,0,1,guard,VERB,Watch over in order to protect or control.,two men were left to guard the stockade,"If you guard a place, person, or object, you stand near them in order to watch and protect them.","['Gunmen guarded homes near the cemetery with shotguns.', '...the heavily guarded courtroom.']","to protect a person, place, or object by staying near them and watching them","['The Sergeant told Swift to guard the entrance.', 'a lioness guarding her cubs', 'There is no one to guard these isolated farms against attack.']","to protect property, places or people from attack or danger","[""The dog was guarding its owner's luggage."", 'political leaders guarded by the police', ""You can't get in; the whole place is guarded."", 'a closely guarded secret']"
This vaccine will guard you against infection .,1,3,guard,VERB,Watch over in order to protect or control.,two men were left to guard the stockade,"If you guard a place, person, or object, you stand near them in order to watch and protect them.","['Gunmen guarded homes near the cemetery with shotguns.', '...the heavily guarded courtroom.']","to protect a person, place, or object by staying near them and watching them","['The Sergeant told Swift to guard the entrance.', 'a lioness guarding her cubs', 'There is no one to guard these isolated farms against attack.']","to protect property, places or people from attack or danger","[""The dog was guarding its owner's luggage."", 'political leaders guarded by the police', ""You can't get in; the whole place is guarded."", 'a closely guarded secret']"
The cooling lava continued to gutter toward lower ground .,0,5,gutter,VERB,(of a candle or flame) flicker and burn unsteadily.,"The candle flickered , and after a moment , the little flame guttered out .","If a flame gutters, it burns weakly and unsteadily.  [literary]","['The flames guttered.', '...a guttering candle.']"," if a candle gutters, it burns with an unsteady flame",[],to burn in an unsteady way,['The candle guttered in the wind.']
Tears guttered down her face .,1,1,gutter,VERB,(of a candle or flame) flicker and burn unsteadily.,"The candle flickered , and after a moment , the little flame guttered out .","If a flame gutters, it burns weakly and unsteadily.  [literary]","['The flames guttered.', '...a guttering candle.']"," if a candle gutters, it burns with an unsteady flame",[],to burn in an unsteady way,['The candle guttered in the wind.']
The heavy rain guttered the soil .,0,3,gutter,VERB,(of a candle or flame) flicker and burn unsteadily.,"The candle flickered , and after a moment , the little flame guttered out .","If a flame gutters, it burns weakly and unsteadily.  [literary]","['The flames guttered.', '...a guttering candle.']"," if a candle gutters, it burns with an unsteady flame",[],to burn in an unsteady way,['The candle guttered in the wind.']
The roofer began to gutter the buildings .,0,4,gutter,VERB,(of a candle or flame) flicker and burn unsteadily.,"The candle flickered , and after a moment , the little flame guttered out .","If a flame gutters, it burns weakly and unsteadily.  [literary]","['The flames guttered.', '...a guttering candle.']"," if a candle gutters, it burns with an unsteady flame",[],to burn in an unsteady way,['The candle guttered in the wind.']
